Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-3d22a21430a1a37,TC-VO24X0.6(B)_260_7101_50_21430_H5-11_2_200907100530,21430,7101,H5-11,VO24X0.6(B),WITH SLIT,260,50,
SN-d5048214305d628,TC-VO24X0.6(B)_330_7101_50_21430_H5-12_1_200907100530,21430,7101,H5-12,VO24X0.6(B),WITH SLIT,330,50,
SN-93a22214301d97c,TC-VO24X0.6(B)_330_7101_50_21430_H5-12_2_200907100531,21430,7101,H5-12,VO24X0.6(B),WITH SLIT,330,50,
SN-47c6821430e97b9,TC-VO24X0.6(B)_360_7101_50_21430_H5-13_1_200907100531,21430,7101,H5-13,VO24X0.6(B),WITH SLIT,360,50,
SN-ac94f214302cb81,TC-VO24X0.6(B)_360_7101_50_21430_H5-13_2_200907100531,21430,7101,H5-13,VO24X0.6(B),WITH SLIT,360,50,
SN-d179721430ebf17,TC-VO24X0.6(B)_520_7101_50_21430_H5-14_1_200907100531,21430,7101,H5-14,VO24X0.6(B),WITH SLIT,520,50,
SN-de9d121430bcc7e,TC-VO24X0.6(B)_520_7101_50_21430_H5-14_2_200907100531,21430,7101,H5-14,VO24X0.6(B),WITH SLIT,520,50,
SN-20ede07542d2bb4,TC-VO26X1(B)_260_7101_50_07542_H4-13_1_200907100531,7542,7101,H4-13,VO26X1(B),WITH SLIT,260,50,
SN-f685507542aeb47,TC-VO26X1(B)_260_7101_50_07542_H4-13_2_200907100531,7542,7101,H4-13,VO26X1(B),WITH SLIT,260,50,
SN-f06990754215da4,TC-VO26X1(B)_330_7101_50_07542_H4-14_1_200907100531,7542,7101,H4-14,VO26X1(B),WITH SLIT,330,50,
SN-cf75d07542b8ae6,TC-VO26X1(B)_330_7101_50_07542_H4-14_2_200907100531,7542,7101,H4-14,VO26X1(B),WITH SLIT,330,50,
SN-683b507540913cb,TC-VO28X1(B)_260_7101_50_07540_H4-08_1_200907100531,7540,7101,H4-08,VO28X1(B),WITH SLIT,260,50,
SN-3b08007540c28e6,TC-VO28X1(B)_260_7101_50_07540_H4-08_2_200907100531,7540,7101,H4-08,VO28X1(B),WITH SLIT,260,50,
SN-94278071610ed11,TC-VO6X0.5(B)_45_7101_100_07161_G6-03_1_200907100531,7161,7101,G6-03,VO6X0.5(B),WITH SLIT,45,100,
SN-ddac60716109efd,TC-VO6X0.5(B)_45_7101_100_07161_G6-03_2_200907100531,7161,7101,G6-03,VO6X0.5(B),WITH SLIT,45,100,
SN-b765b07161f6a32,TC-VO6X0.5(B)_55_7101_100_07161_G6-04_1_200907100532,7161,7101,G6-04,VO6X0.5(B),WITH SLIT,55,100,
SN-3f29007161568c9,TC-VO6X0.5(B)_55_7101_100_07161_G6-04_2_200907100532,7161,7101,G6-04,VO6X0.5(B),WITH SLIT,55,100,
SN-dcbeb07161e8f7d,TC-VO6X0.5(B)_75_7101_100_07161_G6-05_1_200907100532,7161,7101,G6-05,VO6X0.5(B),WITH SLIT,75,100,
SN-cfae907161c96ce,TC-VO6X0.5(B)_75_7101_100_07161_G6-05_2_200907100532,7161,7101,G6-05,VO6X0.5(B),WITH SLIT,75,100,
SN-691ff0716109ccb,TC-VO6X0.5(B)_80_7101_100_07161_G6-06_1_200907100532,7161,7101,G6-06,VO6X0.5(B),WITH SLIT,80,100,
SN-fde0d0716180d35,TC-VO6X0.5(B)_80_7101_100_07161_G6-06_2_200907100532,7161,7101,G6-06,VO6X0.5(B),WITH SLIT,80,100,
SN-33a3d07161803aa,TC-VO6X0.5(B)_85_7101_100_07161_G6-07_1_200907100532,7161,7101,G6-07,VO6X0.5(B),WITH SLIT,85,100,
SN-65220071612770f,TC-VO6X0.5(B)_85_7101_100_07161_G6-07_2_200907100532,7161,7101,G6-07,VO6X0.5(B),WITH SLIT,85,100,
SN-5f834071612a6bb,TC-VO6X0.5(B)_90_7101_100_07161_G6-08_1_200907100532,7161,7101,G6-08,VO6X0.5(B),WITH SLIT,90,100,
SN-ccbd707161b07fb,TC-VO6X0.5(B)_90_7101_100_07161_G6-08_2_200907100532,7161,7101,G6-08,VO6X0.5(B),WITH SLIT,90,100,
SN-0d4ef0716121373,TC-VO6X0.5(B)_105_7101_100_07161_G6-10_1_200907100532,7161,7101,G6-10,VO6X0.5(B),WITH SLIT,105,100,
SN-fd440071615e8d6,TC-VO6X0.5(B)_105_7101_100_07161_G6-10_2_200907100532,7161,7101,G6-10,VO6X0.5(B),WITH SLIT,105,100,
SN-f44850716194ce3,TC-VO6X0.5(B)_110_7101_100_07161_G6-11_1_200907100532,7161,7101,G6-11,VO6X0.5(B),WITH SLIT,110,100,
SN-8503f071619cd87,TC-VO6X0.5(B)_110_7101_100_07161_G6-11_2_200907100533,7161,7101,G6-11,VO6X0.5(B),WITH SLIT,110,100,
SN-8e33707161b3f5c,TC-VO6X0.5(B)_135_7101_100_07161_G6-14_1_200907100533,7161,7101,G6-14,VO6X0.5(B),WITH SLIT,135,100,
SN-6388a0716148d29,TC-VO6X0.5(B)_135_7101_100_07161_G6-14_2_200907100533,7161,7101,G6-14,VO6X0.5(B),WITH SLIT,135,100,
SN-14d61071611088c,TC-VO6X0.5(B)_150_7101_100_07161_G6-16_1_200907100533,7161,7101,G6-16,VO6X0.5(B),WITH SLIT,150,100,
SN-5879f07161b86b6,TC-VO6X0.5(B)_150_7101_100_07161_G6-16_2_200907100533,7161,7101,G6-16,VO6X0.5(B),WITH SLIT,150,100,
SN-9932207161ddbc1,TC-VO6X0.5(B)_155_7101_100_07161_G6-17_1_200907100533,7161,7101,G6-17,VO6X0.5(B),WITH SLIT,155,100,
SN-574cc0716145449,TC-VO6X0.5(B)_155_7101_100_07161_G6-17_2_200907100533,7161,7101,G6-17,VO6X0.5(B),WITH SLIT,155,100,
SN-4d98c0716169d75,TC-VO6X0.5(B)_170_7101_100_07161_G6-19_1_200907100534,7161,7101,G6-19,VO6X0.5(B),WITH SLIT,170,100,
SN-6ca6c07161d7548,TC-VO6X0.5(B)_170_7101_100_07161_G6-19_2_200907100534,7161,7101,G6-19,VO6X0.5(B),WITH SLIT,170,100,
SN-1d8e9071610a2fa,TC-VO6X0.5(B)_175_7101_100_07161_G6-20_1_200907100534,7161,7101,G6-20,VO6X0.5(B),WITH SLIT,175,100,
SN-ef36e0716198ebc,TC-VO6X0.5(B)_175_7101_100_07161_G6-20_2_200907100534,7161,7101,G6-20,VO6X0.5(B),WITH SLIT,175,100,
SN-c890f07161f5606,TC-VO6X0.5(B)_180_7101_100_07161_G6-21_1_200907100534,7161,7101,G6-21,VO6X0.5(B),WITH SLIT,180,100,
